shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
TRA_00005,49.5965194702148,17.2279396057129,6,
TRA_00005,49.5964660644531,17.2272663116455,7,
TRA_00005,49.595890045166,17.222240447998,8,
TRA_00005,49.5953788757324,17.2164001464844,9,
TRA_00006,49.5897903442383,17.2785091400146,1,
TRA_00006,49.5923156738281,17.2776584625244,2,
TRA_00006,49.5924682617188,17.2776699066162,3,
TRA_00006,49.5931587219238,17.2757797241211,4,
TRA_00006,49.5943603515625,17.2714805603027,5,
TRA_00006,49.5909309387207,17.2715301513672,6,
TRA_00006,49.5946502685547,17.270299911499,7,
TRA_00006,49.5961685180664,17.2649707794189,8,
TRA_00006,49.5970001220703,17.2611770629883,9,
TRA_00006,49.5961608886719,17.2568607330322,10,
TRA_00006,49.595588684082,17.2521305084229,11,
TRA_00006,49.5953903198242,17.249719619751,12,
TRA_00006,49.5959281921387,17.2457103729248,13,
TRA_00006,49.5951881408691,17.2416896820068,14,
TRA_00006,49.5965690612793,17.2375602722168,15,
TRA_00006,49.5967178344727,17.2355003356934,16,
TRA_00006,49.5965690612793,17.2309608459473,17,
TRA_00006,49.5965194702148,17.2279396057129,18,
TRA_00006,49.5964660644531,17.2272663116455,19,
TRA_00006,49.595890045166,17.222240447998,20,
TRA_00006,49.5953788757324,17.2164001464844,21,
TRA_00007,49.5751991271973,17.2480449676514,1,
TRA_00007,49.5770721435547,17.2506618499756,2,
TRA_00007,49.5775680541992,17.256706237793,3,
TRA_00007,49.5798492431641,17.2570838928223,4,
TRA_00007,49.5893287658691,17.2602291107178,5,
TRA_00007,49.5893287658691,17.2602291107178,6,
TRA_00007,49.583683013916,17.2596473693848,7,
TRA_00007,49.5893287658691,17.2602291107178,8,
TRA_00007,49.5879325866699,17.2578430175781,9,
TRA_00007,49.5893287658691,17.2602291107178,10,
TRA_00007,49.5893287658691,17.2602291107178,11,
TRA_00007,49.5887298583984,17.2553806304932,12,
TRA_00007,49.5890998840332,17.2542991638184,13,
TRA_00007,49.591251373291,17.2504997253418,14,
TRA_00007,49.5917015075684,17.2500400543213,15,
TRA_00007,49.594669342041,17.2472705841064,16,
TRA_00007,49.5952606201172,17.2472496032715,17,
TRA_00007,49.5953712463379,17.2503890991211,18,
TRA_00007,49.5961990356445,17.2574100494385,19,
TRA_00007,49.5969200134277,17.2608890533447,20,
TRA_00007,49.5961303710938,17.2648696899414,21,
TRA_00007,49.5959815979004,17.2653999328613,22,
TRA_00007,49.5901794433594,17.2684707641602,23,
TRA_00007,49.5946388244629,17.2703304290771,24,
TRA_00007,49.5946083068848,17.2703895568848,25,
TRA_00007,49.5939292907715,17.2730102539063,26,
TRA_00007,49.5917701721191,17.2777805328369,27,
TRA_00007,49.5894813537598,17.2787609100342,28,
TRA_00008,49.5751991271973,17.2480449676514,1,
TRA_00008,49.5770721435547,17.2506618499756,2,
TRA_00008,49.5775680541992,17.256706237793,3,
TRA_00008,49.5798492431641,17.2570838928223,4,
TRA_00008,49.5893287658691,17.2602291107178,5,
TRA_00008,49.5893287658691,17.2602291107178,6,
TRA_00008,49.583683013916,17.2596473693848,7,
TRA_00008,49.5893287658691,17.2602291107178,8,
TRA_00008,49.5879325866699,17.2578430175781,9,
TRA_00008,49.5893287658691,17.2602291107178,10,
TRA_00008,49.5893287658691,17.2602291107178,11,
TRA_00008,49.5887298583984,17.2553806304932,12,
TRA_00008,49.5890998840332,17.2542991638184,13,
TRA_00008,49.591251373291,17.2504997253418,14,
TRA_00008,49.5917015075684,17.2500400543213,15,
TRA_00008,49.5952606201172,17.2472496032715,16,
TRA_00009,49.5751991271973,17.2480449676514,1,
TRA_00009,49.5770721435547,17.2506618499756,2,
TRA_00009,49.5775680541992,17.256706237793,3,
TRA_00009,49.5798492431641,17.2570838928223,4,
TRA_00009,49.5893287658691,17.2602291107178,5,
TRA_00009,49.5893287658691,17.2602291107178,6,
TRA_00009,49.583683013916,17.2596473693848,7,
TRA_00009,49.5893287658691,17.2602291107178,8,
TRA_00009,49.5879325866699,17.2578430175781,9,
TRA_00009,49.5893287658691,17.2602291107178,10,
TRA_00009,49.5893287658691,17.2602291107178,11,
TRA_00009,49.5887298583984,17.2553806304932,12,
TRA_00009,49.5890998840332,17.2542991638184,13,
TRA_00009,49.591251373291,17.2504997253418,14,
TRA_00009,49.5917015075684,17.2500400543213,15,
TRA_00009,49.594669342041,17.2472705841064,16,
TRA_00009,49.5952606201172,17.2472496032715,17,
TRA_00009,49.5953712463379,17.2503890991211,18,
TRA_00009,49.5961990356445,17.2574100494385,19,
TRA_00009,49.5969200134277,17.2608890533447,20,
TRA_00009,49.5961303710938,17.2648696899414,21,
TRA_00009,49.5959815979004,17.2653999328613,22,
TRA_00009,49.5901794433594,17.2684707641602,23,
TRA_00009,49.5946388244629,17.2703304290771,24,
TRA_00009,49.5946083068848,17.2703895568848,25,
TRA_00009,49.5939292907715,17.2730102539063,26,
TRA_00009,49.5917701721191,17.2777805328369,27,
TRA_00010,49.5923156738281,17.2776584625244,1,
